"province_name","age_group","male2011","female2011","male2016","female2016","rate_male","rate_female"
"آذربایجان شرقی","0-4",152347,143326,166096,154760,1.80495841729735,1.59552349189959
"آذربایجان شرقی","5-9",136593,129570,156081,147170,2.85344051305704,2.71667824342054
"آذربایجان شرقی","10-14",135394,129576,138270,131617,0.424834187630176,0.315027474223622
"آذربایجان شرقی","15-19",155679,147092,135230,124167,-2.62707237328092,-3.11709678296576
"آذربایجان شرقی","20-24",200669,193793,148894,139899,-5.16023900054318,-5.56201720392377
"آذربایجان شرقی","25-29",204707,200885,189819,179808,-1.45456677104349,-2.09841451576773
"آذربایجان شرقی","30-34",175925,174905,199811,196308,2.71547534460708,2.44738572367857
"آذربایجان شرقی","35-39",147171,143314,179143,175472,4.34487772726964,4.48776811756004
"آذربایجان شرقی","40-44",128236,125263,148364,143775,3.13921207773168,2.95570120466538
"آذربایجان شرقی","45-49",104446,103114,128764,124306,4.65656894471784,4.11040207925209
"آذربایجان شرقی","50-54",91080,93785,103574,101132,2.74352217830479,1.56677507064029
"آذربایجان شرقی","55-59",70358,72440,87340,90258,4.82731174848631,4.91938155715075
"آذربایجان شرقی","60-64",48453,52999,67249,69269,7.75844632943265,6.13973848563181
"آذربایجان شرقی","65-69",39895,42882,44740,48694,2.4288757989723,2.71069446387762
"آذربایجان شرقی","70-74",35135,35444,34874,35918,-0.148569802191547,0.267464168829703
"آذربایجان شرقی","75-79",28693,26770,27921,27283,-0.538110340501168,0.383264848711244
"آذربایجان شرقی","80-84",17301,16768,20002,17994,3.12236286919831,1.46230916030534
"آذربایجان شرقی","85-89",7987,8400,9629,8949,4.11168148240891,1.30714285714286
"آذربایجان شرقی","90-94",1226,1459,3270,3029,33.3442088091354,21.5215901302262
"آذربایجان شرقی","95-99",254,331,276,370,1.73228346456693,2.35649546827795
"آذربایجان شرقی",">100",124,222,53,74,-11.4516129032258,-13.3333333333333
"آذربایجان شرقی","unknown",358,251,NA,NA,NA,NA
"آذربایجان غربی","0-4",141287,133902,158366,148241,2.4176321954603,2.14171558303834
"آذربایجان غربی","5-9",129071,121543,143847,135944,2.28959254983691,2.36969632146648
"آذربایجان غربی","10-14",129054,124349,129380,121978,0.0505214871294187,-0.381346050229596
"آذربایجان غربی","15-19",151547,146978,123645,117668,-3.68228998264565,-3.98835199825824
"آذربایجان غربی","20-24",176757,172371,144638,139190,-3.63425493756966,-3.84995155797669
"آذربایجان غربی","25-29",163160,160260,169054,162108,0.722481000245158,0.230625233994759
"آذربایجان غربی","30-34",138339,137040,160087,155835,3.14416035969611,2.74299474605954
"آذربایجان غربی","35-39",109581,105828,140576,136423,5.65700258256449,5.78202366103489
"آذربایجان غربی","40-44",102795,98643,108550,105443,1.11970426577168,1.37870908224608
"آذربایجان غربی","45-49",81381,80041,101193,96504,4.86894975485678,4.11364175859872
"آذربایجان غربی","50-54",68224,69001,79698,77920,3.36362570356473,2.58517992492862
"آذربایجان غربی","55-59",49219,51997,64276,65071,6.11836892257055,5.02875165874954
"آذربایجان غربی","60-64",33252,37520,46038,49334,7.69036448935402,6.29744136460554
"آذربایجان غربی","65-69",23250,27812,30232,34300,6.00602150537634,4.66561196605782
"آذربایجان غربی","70-74",20877,21805,20406,23142,-0.451214254921684,1.22632423756019
"آذربایجان غربی","75-79",18241,18384,16283,16923,-2.14681212652815,-1.58942558746736
"آذربایجان غربی","80-84",11180,10883,12577,12206,2.49910554561717,2.43131489479004
"آذربایجان غربی","85-89",5446,5189,6159,5838,2.61843554902681,2.50144536519561
"آذربایجان غربی","90-94",1027,1090,2453,2214,27.7702044790652,20.6238532110092
"آذربایجان غربی","95-99",492,313,433,418,-2.39837398373984,6.70926517571885
"آذربایجان غربی",">100",428,391,428,200,0,-9.76982097186701
"آذربایجان غربی","unknown",519,109,NA,NA,NA,NA
"اردبیل","0-4",53014,49332,56614,52000,1.35813181423775,1.08165085542853
"اردبیل","5-9",46959,44336,52592,48550,2.39911412082881,1.9009382894262
"اردبیل","10-14",48942,47454,46553,43928,-0.976257611049814,-1.4860707211194
"اردبیل","15-19",62200,59829,44954,42837,-5.54533762057878,-5.68018853733139
"اردبیل","20-24",74112,70660,56695,52023,-4.7001835060449,-5.27512029436739
"اردبیل","25-29",69119,67777,68838,62665,-0.0813090467165324,-1.50847632677752
"اردبیل","30-34",57266,56765,65259,63053,2.79153424370482,2.21544966088259
"اردبیل","35-39",47118,45861,56476,54959,3.97215501506855,3.96764135103901
"اردبیل","40-44",43376,39826,45776,44116,1.10660272962007,2.15437151609501
"اردبیل","45-49",32017,31905,42259,38425,6.39785114158103,4.08713367810688
"اردبیل","50-54",26688,27727,30920,30645,3.17146282973621,2.10480758827136
"اردبیل","55-59",18270,21668,25159,26077,7.54132457580733,4.06959571718663
"اردبیل","60-64",14134,15930,17283,20244,4.45592189047686,5.41619585687382
"اردبیل","65-69",11685,12092,13085,14445,2.39623448866068,3.89182930863381
"اردبیل","70-74",9711,9167,10194,10437,0.994748223663886,2.77080833424239
"اردبیل","75-79",8772,8237,7578,7166,-2.72229822161423,-2.60046133300959
"اردبیل","80-84",5921,5264,5911,5080,-0.0337780780273602,-0.699088145896657
"اردبیل","85-89",2260,2160,3167,2652,8.02654867256637,4.55555555555556
"اردبیل","90-94",240,328,864,732,52,24.6341463414634
"اردبیل","95-99",70,106,65,96,-1.42857142857143,-1.88679245283019
"اردبیل",">100",27,64,13,35,-10.3703703703704,-9.0625
"اردبیل","unknown",71,28,NA,NA,NA,NA
"اصفهان","0-4",183559,174666,206495,195409,2.49903300846049,2.37516173725854
"اصفهان","5-9",168699,159890,189107,179662,2.41945713963924,2.47320032522359
"اصفهان","10-14",171335,164978,170461,162412,-0.102022353868153,-0.311071779267539
"اصفهان","15-19",190935,185972,164533,159761,-2.76554848508655,-2.81881143397931
"اصفهان","20-24",268362,267401,185596,182700,-6.16823544317005,-6.33512963676276
"اصفهان","25-29",295413,290100,258335,256929,-2.51024836415459,-2.28686659772492
"اصفهان","30-34",234299,228645,289813,284750,4.73873127926282,4.90760786371886
"اصفهان","35-39",193987,181969,235188,229467,4.2478104202859,5.22044963702609
"اصفهان","40-44",176813,165475,191287,181751,1.63720993365872,1.96718537543436
"اصفهان","45-49",147694,140733,173085,162949,3.43832518585725,3.15718417144522
"اصفهان","50-54",123986,120797,144331,137410,3.28182214120949,2.7505649974751
"اصفهان","55-59",97573,93547,118081,116340,4.20362190360038,4.873058462591
"اصفهان","60-64",66405,68163,93353,90387,8.11625630600105,6.52083975177149
"اصفهان","65-69",48155,51505,60991,63045,5.33111826393936,4.48111833802543
"اصفهان","70-74",40977,40321,43292,45513,1.129902140225,2.57533295305176
"اصفهان","75-79",34555,31427,33849,31905,-0.408623932860657,0.30419702803322
"اصفهان","80-84",19126,23356,25223,23254,6.37561434696225,-0.0873437232402809
"اصفهان","85-89",10947,10620,11232,12264,0.520690600164429,3.09604519774011
"اصفهان","90-94",2065,2506,4513,4500,23.7094430992736,15.9138068635275
"اصفهان","95-99",388,529,618,778,11.8556701030928,9.41398865784499
"اصفهان",">100",208,384,94,187,-10.9615384615385,-10.2604166666667
"اصفهان","unknown",540,307,NA,NA,NA,NA
"البرز","0-4",91867,87342,106034,100959,3.08424134890657,3.11808751803256
"البرز","5-9",86336,81608,100302,94653,3.23526686434396,3.19699049112832
"البرز","10-14",83962,80729,91688,86318,1.8403563516829,1.38463253601556
"البرز","15-19",90943,91097,84049,82618,-1.51611448929549,-1.8615322129159
"البرز","20-24",122419,130903,97318,100903,-4.10083402086277,-4.58354659557077
"البرز","25-29",149201,153085,139156,142197,-1.34650572047104,-1.42247770846262
"البرز","30-34",130389,125791,161594,161712,4.78644670946169,5.71121940361393
"البرز","35-39",106607,94938,139246,131172,6.12323768608065,7.63319218858624
"البرز","40-44",90638,83778,108237,98747,3.88336018005693,3.57349184750173
"البرز","45-49",72088,69872,93098,86386,5.82898679391854,4.72692924204259
"البرز","50-54",61478,59686,73280,70823,3.83942223234328,3.73186341855712
"البرز","55-59",46239,44132,60387,59748,6.11950950496334,7.07695096528596
"البرز","60-64",30062,30561,45273,44888,10.1197525114763,9.37600209417231
"البرز","65-69",21570,20252,28884,30225,6.78164116828929,9.84890381196919
"البرز","70-74",16586,14787,19694,18986,3.74773905703606,5.6793129099885
"البرز","75-79",11809,10269,13981,12608,3.67855025827758,4.55545817509008
"البرز","80-84",5934,6363,9042,7693,10.4752275025278,4.18041804180418
"البرز","85-89",2952,3113,3535,3805,3.94986449864499,4.44587214905236
"البرز","90-94",652,748,1317,1329,20.398773006135,15.5347593582888
"البرز","95-99",154,171,179,224,3.24675324675325,6.19883040935672
"البرز",">100",81,125,41,71,-9.87654320987654,-8.64
"البرز","unknown",654,542,NA,NA,NA,NA
