"province_name","province_code","county_name","age_group","male","female"
"مرکزی","00","اراک","0-4",20965,20128
"مرکزی","00","اراک","5-9",20126,19296
"مرکزی","00","اراک","10-14",20836,19719
"مرکزی","00","اراک","15-19",24924,24377
"مرکزی","00","اراک","20-24",34592,34005
"مرکزی","00","اراک","25-29",35746,34546
"مرکزی","00","اراک","30-34",29211,28334
"مرکزی","00","اراک","35-39",25367,23067
"مرکزی","00","اراک","40-44",22169,20863
"مرکزی","00","اراک","45-49",18950,17099
"مرکزی","00","اراک","50-54",15049,14721
"مرکزی","00","اراک","55-59",10914,11246
"مرکزی","00","اراک","60-64",6889,8404
"مرکزی","00","اراک","65-69",5328,5913
"مرکزی","00","اراک","70-74",5283,6326
"مرکزی","00","اراک","75-79",4031,3684
"مرکزی","00","اراک","80-84",1968,2386
"مرکزی","00","اراک","85-89",1131,1126
"مرکزی","00","اراک","90-94",305,349
"مرکزی","00","اراک","95-99",57,52
"مرکزی","00","اراک",">100",18,47
"مرکزی","00","اراک","unknown",51,36
"مرکزی","00","آشتیان","0-4",521,522
"مرکزی","00","آشتیان","5-9",533,532
"مرکزی","00","آشتیان","10-14",648,650
"مرکزی","00","آشتیان","15-19",777,741
"مرکزی","00","آشتیان","20-24",892,848
"مرکزی","00","آشتیان","25-29",831,798
"مرکزی","00","آشتیان","30-34",628,643
"مرکزی","00","آشتیان","35-39",573,627
"مرکزی","00","آشتیان","40-44",508,572
"مرکزی","00","آشتیان","45-49",451,477
"مرکزی","00","آشتیان","50-54",470,398
"مرکزی","00","آشتیان","55-59",323,398
"مرکزی","00","آشتیان","60-64",213,347
"مرکزی","00","آشتیان","65-69",218,294
"مرکزی","00","آشتیان","70-74",255,317
"مرکزی","00","آشتیان","75-79",291,283
"مرکزی","00","آشتیان","80-84",144,142
"مرکزی","00","آشتیان","85-89",85,80
"مرکزی","00","آشتیان","90-94",30,26
"مرکزی","00","آشتیان","95-99",7,2
"مرکزی","00","آشتیان",">100",3,1
