"province_name","province_code","county_name","county_code","age_group","male","female"
"مرکزی","00","اراک","0001","0-4",22441,21118
"مرکزی","00","اراک","0001","5-9",20153,19418
"مرکزی","00","اراک","0001","10-14",19116,18366
"مرکزی","00","اراک","0001","15-19",19629,18904
"مرکزی","00","اراک","0001","20-24",24034,23771
"مرکزی","00","اراک","0001","25-29",30927,30159
"مرکزی","00","اراک","0001","30-34",32834,31927
"مرکزی","00","اراک","0001","35-39",27802,26749
"مرکزی","00","اراک","0001","40-44",23178,21866
"مرکزی","00","اراک","0001","45-49",20590,19404
"مرکزی","00","اراک","0001","50-54",17373,15753
"مرکزی","00","اراک","0001","55-59",13486,13558
"مرکزی","00","اراک","0001","60-64",9842,10146
"مرکزی","00","اراک","0001","65-69",6040,6865
"مرکزی","00","اراک","0001","70-74",4499,5124
"مرکزی","00","اراک","0001","75-79",3764,3871
"مرکزی","00","اراک","0001","80-84",2788,2595
"مرکزی","00","اراک","0001","85-89",1162,1299
"مرکزی","00","اراک","0001","90-94",474,499
"مرکزی","00","اراک","0001","95-99",98,104
"مرکزی","00","اراک","0001",">100",15,15
"مرکزی","00","آشتیان","0002","0-4",568,547
"مرکزی","00","آشتیان","0002","5-9",507,489
"مرکزی","00","آشتیان","0002","10-14",525,514
"مرکزی","00","آشتیان","0002","15-19",556,490
"مرکزی","00","آشتیان","0002","20-24",718,570
"مرکزی","00","آشتیان","0002","25-29",806,678
"مرکزی","00","آشتیان","0002","30-34",765,718
"مرکزی","00","آشتیان","0002","35-39",624,590
"مرکزی","00","آشتیان","0002","40-44",536,600
"مرکزی","00","آشتیان","0002","45-49",472,549
"مرکزی","00","آشتیان","0002","50-54",460,461
"مرکزی","00","آشتیان","0002","55-59",441,385
"مرکزی","00","آشتیان","0002","60-64",295,379
"مرکزی","00","آشتیان","0002","65-69",221,327
"مرکزی","00","آشتیان","0002","70-74",207,267
"مرکزی","00","آشتیان","0002","75-79",205,234
"مرکزی","00","آشتیان","0002","80-84",207,199
"مرکزی","00","آشتیان","0002","85-89",79,84
"مرکزی","00","آشتیان","0002","90-94",37,26
"مرکزی","00","آشتیان","0002","95-99",9,12
"مرکزی","00","آشتیان","0002",">100",0,0
"مرکزی","00","تفرش","0003","0-4",765,782
"مرکزی","00","تفرش","0003","5-9",737,742
"مرکزی","00","تفرش","0003","10-14",700,666
"مرکزی","00","تفرش","0003","15-19",960,763
"مرکزی","00","تفرش","0003","20-24",1109,957
"مرکزی","00","تفرش","0003","25-29",1054,968
"مرکزی","00","تفرش","0003","30-34",1100,1097
"مرکزی","00","تفرش","0003","35-39",915,923
"مرکزی","00","تفرش","0003","40-44",749,779
"مرکزی","00","تفرش","0003","45-49",732,763
"مرکزی","00","تفرش","0003","50-54",654,770
"مرکزی","00","تفرش","0003","55-59",610,690
"مرکزی","00","تفرش","0003","60-64",523,670
"مرکزی","00","تفرش","0003","65-69",483,584
"مرکزی","00","تفرش","0003","70-74",318,433
"مرکزی","00","تفرش","0003","75-79",385,379
"مرکزی","00","تفرش","0003","80-84",351,322
"مرکزی","00","تفرش","0003","85-89",139,152
"مرکزی","00","تفرش","0003","90-94",74,66
"مرکزی","00","تفرش","0003","95-99",29,15
"مرکزی","00","تفرش","0003",">100",3,2
"مرکزی","00","خمین","0004","0-4",4192,3774
"مرکزی","00","خمین","0004","5-9",3847,3516
"مرکزی","00","خمین","0004","10-14",3539,3273
"مرکزی","00","خمین","0004","15-19",3278,3102
"مرکزی","00","خمین","0004","20-24",3534,3081
"مرکزی","00","خمین","0004","25-29",4900,4434
"مرکزی","00","خمین","0004","30-34",5320,5099
"مرکزی","00","خمین","0004","35-39",4213,4225
"مرکزی","00","خمین","0004","40-44",3719,3972
"مرکزی","00","خمین","0004","45-49",3285,3423
"مرکزی","00","خمین","0004","50-54",3223,3092
"مرکزی","00","خمین","0004","55-59",2824,2850
"مرکزی","00","خمین","0004","60-64",2120,2452
"مرکزی","00","خمین","0004","65-69",1181,1639
"مرکزی","00","خمین","0004","70-74",1230,1562
"مرکزی","00","خمین","0004","75-79",1115,1193
"مرکزی","00","خمین","0004","80-84",876,804
"مرکزی","00","خمین","0004","85-89",377,366
"مرکزی","00","خمین","0004","90-94",173,147
"مرکزی","00","خمین","0004","95-99",29,31
"مرکزی","00","خمین","0004",">100",1,6
"مرکزی","00","دلیجان","0005","0-4",2334,2118
"مرکزی","00","دلیجان","0005","5-9",2008,1882
"مرکزی","00","دلیجان","0005","10-14",1708,1729
"مرکزی","00","دلیجان","0005","15-19",1750,1608
"مرکزی","00","دلیجان","0005","20-24",1800,1803
"مرکزی","00","دلیجان","0005","25-29",2593,2650
"مرکزی","00","دلیجان","0005","30-34",2943,2761
"مرکزی","00","دلیجان","0005","35-39",2263,2212
"مرکزی","00","دلیجان","0005","40-44",1880,1705
"مرکزی","00","دلیجان","0005","45-49",1636,1521
"مرکزی","00","دلیجان","0005","50-54",1520,1268
"مرکزی","00","دلیجان","0005","55-59",1095,1025
"مرکزی","00","دلیجان","0005","60-64",897,941
"مرکزی","00","دلیجان","0005","65-69",484,591
"مرکزی","00","دلیجان","0005","70-74",413,430
"مرکزی","00","دلیجان","0005","75-79",383,426
"مرکزی","00","دلیجان","0005","80-84",349,332
"مرکزی","00","دلیجان","0005","85-89",220,167
"مرکزی","00","دلیجان","0005","90-94",83,63
"مرکزی","00","دلیجان","0005","95-99",13,9
"مرکزی","00","دلیجان","0005",">100",0,8
"مرکزی","00","ساوه","0006","0-4",12832,12099
"مرکزی","00","ساوه","0006","5-9",12162,11686
"مرکزی","00","ساوه","0006","10-14",11076,10729
"مرکزی","00","ساوه","0006","15-19",9666,9711
"مرکزی","00","ساوه","0006","20-24",10483,11135
"مرکزی","00","ساوه","0006","25-29",14565,14831
"مرکزی","00","ساوه","0006","30-34",16105,15383
"مرکزی","00","ساوه","0006","35-39",13943,12625
"مرکزی","00","ساوه","0006","40-44",11557,9654
"مرکزی","00","ساوه","0006","45-49",9032,8241
"مرکزی","00","ساوه","0006","50-54",7154,6334
"مرکزی","00","ساوه","0006","55-59",5558,5073
"مرکزی","00","ساوه","0006","60-64",3533,3439
"مرکزی","00","ساوه","0006","65-69",2232,2521
"مرکزی","00","ساوه","0006","70-74",1588,1888
"مرکزی","00","ساوه","0006","75-79",1438,1515
"مرکزی","00","ساوه","0006","80-84",1082,1079
"مرکزی","00","ساوه","0006","85-89",582,520
"مرکزی","00","ساوه","0006","90-94",223,162
"مرکزی","00","ساوه","0006","95-99",49,34
"مرکزی","00","ساوه","0006",">100",11,8
"مرکزی","00","شازند","0007","0-4",4963,4456
"مرکزی","00","شازند","0007","5-9",4513,4168
"مرکزی","00","شازند","0007","10-14",3936,3724
"مرکزی","00","شازند","0007","15-19",3625,3636
"مرکزی","00","شازند","0007","20-24",4843,4228
"مرکزی","00","شازند","0007","25-29",5744,5335
"مرکزی","00","شازند","0007","30-34",5652,5541
"مرکزی","00","شازند","0007","35-39",4975,5146
"مرکزی","00","شازند","0007","40-44",4392,4592
"مرکزی","00","شازند","0007","45-49",3981,3795
"مرکزی","00","شازند","0007","50-54",3197,3020
"مرکزی","00","شازند","0007","55-59",2318,2592
"مرکزی","00","شازند","0007","60-64",1677,2293
"مرکزی","00","شازند","0007","65-69",1291,1869
"مرکزی","00","شازند","0007","70-74",1184,1506
"مرکزی","00","شازند","0007","75-79",1261,1209
"مرکزی","00","شازند","0007","80-84",942,814
"مرکزی","00","شازند","0007","85-89",420,332
"مرکزی","00","شازند","0007","90-94",195,146
"مرکزی","00","شازند","0007","95-99",22,26
"مرکزی","00","شازند","0007",">100",7,5
"مرکزی","00","محلات","0009","0-4",2167,2076
"مرکزی","00","محلات","0009","5-9",2008,1857
"مرکزی","00","محلات","0009","10-14",1741,1687
"مرکزی","00","محلات","0009","15-19",1744,1678
"مرکزی","00","محلات","0009","20-24",2076,1940
"مرکزی","00","محلات","0009","25-29",2772,2615
