"province_name","province_code","county_name","county_code","gender","status","Elementary school","Middle school","High school","College","Higher education","Other education","Illitrate","Unknown"
"تهران","23","تهران","2301","Male","Active",199735,311713,171917,714084,784786,4434,71223,204
"تهران","23","تهران","2301","Male","Unemployed",6617,19823,19311,67843,83031,273,2657,7
"تهران","23","تهران","2301","Female","Active",15260,19341,12688,117122,464910,1043,9256,39
"تهران","23","تهران","2301","Female","Unemployed",995,2626,2731,26889,98772,163,529,2
"تهران","23","دماوند","2302","Male","Active",6079,6400,3078,8541,5615,73,3953,1
"تهران","23","دماوند","2302","Male","Unemployed",119,234,216,575,600,2,67,0
"تهران","23","دماوند","2302","Female","Active",345,331,183,949,2536,8,573,0
"تهران","23","دماوند","2302","Female","Unemployed",19,23,29,163,583,2,18,0
"تهران","23","ری","2303","Male","Active",25053,23678,7769,21746,7581,156,14210,4
"تهران","23","ری","2303","Male","Unemployed",554,1124,684,1733,833,5,213,0
"تهران","23","ری","2303","Female","Active",1590,1323,549,2834,2886,10,1463,0
"تهران","23","ری","2303","Female","Unemployed",91,118,87,507,595,3,40,0
"تهران","23","شمیرانات","2304","Male","Active",1776,2257,1188,3738,2461,55,1049,0
"تهران","23","شمیرانات","2304","Male","Unemployed",20,87,84,285,255,1,10,0
"تهران","23","شمیرانات","2304","Female","Active",106,121,65,444,1242,4,61,0
"تهران","23","شمیرانات","2304","Female","Unemployed",9,19,6,91,273,0,4,0
"تهران","23","ورامین","2306","Male","Active",17003,15789,6528,18147,9248,251,8880,6
"تهران","23","ورامین","2306","Male","Unemployed",603,951,601,1919,1236,17,219,0
"تهران","23","ورامین","2306","Female","Active",1269,1011,431,2205,4394,34,1104,3
"تهران","23","ورامین","2306","Female","Unemployed",92,134,57,516,1027,0,36,0
"تهران","23","شهریار","2309","Male","Active",36251,43169,19669,56033,30135,275,15112,2
"تهران","23","شهریار","2309","Male","Unemployed",1340,3030,2365,5243,4125,19,589,0
"تهران","23","شهریار","2309","Female","Active",1979,2200,1255,7284,13852,30,1323,0
"تهران","23","شهریار","2309","Female","Unemployed",208,371,306,1906,3899,3,70,0
"تهران","23","اسلامشهر","2310","Male","Active",23879,30746,14340,46115,23049,184,8501,0
"تهران","23","اسلامشهر","2310","Male","Unemployed",748,1893,1718,4441,3099,6,321,0
"تهران","23","اسلامشهر","2310","Female","Active",1305,1552,894,5736,9820,33,940,1
"تهران","23","اسلامشهر","2310","Female","Unemployed",100,236,227,1505,2596,9,51,1
"تهران","23","رباط کریم","2312","Male","Active",15451,18588,7577,23270,11780,165,6152,3
"تهران","23","رباط کریم","2312","Male","Unemployed",518,1045,753,1905,1182,4,186,0
"تهران","23","رباط کریم","2312","Female","Active",934,1084,530,2947,4404,18,620,1
"تهران","23","رباط کریم","2312","Female","Unemployed",72,116,100,596,1085,0,12,0
"تهران","23","پاکدشت","2313","Male","Active",24145,24835,8056,22188,8590,205,9576,1
"تهران","23","پاکدشت","2313","Male","Unemployed",554,1018,567,1460,904,6,229,0
"تهران","23","پاکدشت","2313","Female","Active",1471,1328,513,2305,3359,41,1154,0
"تهران","23","پاکدشت","2313","Female","Unemployed",87,117,71,367,737,5,41,0
"تهران","23","فیروزکوه","2314","Male","Active",1354,1370,783,2294,1903,31,665,0
"تهران","23","فیروزکوه","2314","Male","Unemployed",15,53,41,120,231,0,9,0
"تهران","23","فیروزکوه","2314","Female","Active",169,101,69,269,700,5,108,0
"تهران","23","فیروزکوه","2314","Female","Unemployed",1,6,7,33,135,0,1,0
"تهران","23","قدس","2316","Male","Active",17478,22371,8344,27023,10577,97,4527,3
"تهران","23","قدس","2316","Male","Unemployed",519,1293,991,2452,1406,4,222,0
"تهران","23","قدس","2316","Female","Active",975,1127,560,3310,4345,7,471,0
"تهران","23","قدس","2316","Female","Unemployed",101,187,143,851,1259,0,44,0
"تهران","23","ملارد","2317","Male","Active",23754,28413,10513,27983,10345,114,8561,3
"تهران","23","ملارد","2317","Male","Unemployed",913,2135,1390,2899,1556,5,342,0
"تهران","23","ملارد","2317","Female","Active",1346,1603,798,3665,4209,16,727,1
"تهران","23","ملارد","2317","Female","Unemployed",137,272,204,969,1326,2,44,0
"تهران","23","پیشوا","2318","Male","Active",5202,5458,1999,5220,2179,30,3729,1
"تهران","23","پیشوا","2318","Male","Unemployed",182,288,190,540,293,1,83,0
"تهران","23","پیشوا","2318","Female","Active",367,262,148,522,1572,3,523,0
"تهران","23","پیشوا","2318","Female","Unemployed",18,29,31,123,210,1,12,0
"تهران","23","بهارستان","2319","Male","Active",44314,41487,13740,32296,10358,176,14395,11
"تهران","23","بهارستان","2319","Male","Unemployed",1093,2093,1226,2894,1496,2,516,0
"تهران","23","بهارستان","2319","Female","Active",1756,1640,673,2741,2875,15,1093,6
"تهران","23","بهارستان","2319","Female","Unemployed",131,164,103,484,721,1,62,0
"تهران","23","پردیس","2320","Male","Active",7993,10450,4578,14474,7697,40,2545,0
"تهران","23","پردیس","2320","Male","Unemployed",246,492,383,1204,843,0,79,0
"تهران","23","پردیس","2320","Female","Active",556,676,307,2110,3519,17,181,0
"تهران","23","پردیس","2320","Female","Unemployed",28,47,48,448,980,2,5,0
"تهران","23","قرچک","2321","Male","Active",19637,18788,5907,16963,6403,140,8126,11
"تهران","23","قرچک","2321","Male","Unemployed",650,1060,591,1644,897,8,238,1
"تهران","23","قرچک","2321","Female","Active",906,973,380,1903,2291,19,640,3
"تهران","23","قرچک","2321","Female","Unemployed",84,149,73,472,569,2,34,0
"آذربایجان شرقی","03","اهر","0302","Male","Active",10850,6975,3392,7300,6861,113,6218,3
"آذربایجان شرقی","03","اهر","0302","Male","Unemployed",750,927,594,1552,1561,13,419,0
"آذربایجان شرقی","03","اهر","0302","Female","Active",1421,495,223,1038,2866,20,1716,0
"آذربایجان شرقی","03","اهر","0302","Female","Unemployed",127,68,60,350,984,5,75,0
"آذربایجان شرقی","03","تبریز","0303","Male","Active",92042,85683,40398,116572,110959,1054,36109,24
"آذربایجان شرقی","03","تبریز","0303","Male","Unemployed",5889,8207,5660,15609,16659,87,2970,11
"آذربایجان شرقی","03","تبریز","0303","Female","Active",6529,4902,2798,15220,44063,194,6413,8
"آذربایجان شرقی","03","تبریز","0303","Female","Unemployed",655,926,718,5074,14088,45,470,6
"آذربایجان شرقی","03","سراب","0305","Male","Active",10094,7342,3031,6308,4402,96,4718,1
"آذربایجان شرقی","03","سراب","0305","Male","Unemployed",285,442,314,816,826,5,130,0
"آذربایجان شرقی","03","سراب","0305","Female","Active",946,483,174,530,1721,7,842,0
"آذربایجان شرقی","03","سراب","0305","Female","Unemployed",28,32,18,118,439,0,20,0
"آذربایجان شرقی","03","مراغه","0306","Male","Active",17086,12550,6542,15326,12751,129,8780,2
"آذربایجان شرقی","03","مراغه","0306","Male","Unemployed",1438,1988,1825,3361,2890,14,638,1
"آذربایجان شرقی","03","مراغه","0306","Female","Active",1126,656,370,1533,4593,17,1350,0
"آذربایجان شرقی","03","مراغه","0306","Female","Unemployed",178,187,135,536,1603,1,124,0
